player_name,win,make_cut,top_5,top_10,top_20
"Poston, J.T.",0.0032270833333333,0.702775,0.043325,0.103775,0.230425
"Bhatia, Akshay",0.00311625,0.667325,0.0343,0.084075,0.198525
"Reed, Patrick",0.0028933333333333,0.68705,0.040825,0.101725,0.23815
"Rose, Justin",0.0028791666666666,0.52655,0.032275,0.076775,0.17335
"Fox, Ryan",0.0027622916666666,0.7443,0.03605,0.093675,0.224025
"Spieth, Jordan",0.0027416666666666,0.540125,0.03375,0.079525,0.17805
"English, Harris",0.0024758333333333,0.664425,0.033825,0.086875,0.211025
"Cantlay, Patrick",0.0024108333333333,0.44285,0.031325,0.07505,0.166025
"Koepka, Brooks",0.0021329166666666,0.531425,0.026025,0.066425,0.161275
"Straka, Sepp",0.0019808333333333,0.61375,0.0246,0.06465,0.1642
"Theegala, Sahith",0.0019716666666666,0.616225,0.024675,0.06475,0.166925
"Scott, Adam",0.0019504166666666,0.529175,0.025375,0.063775,0.1572
"Brennan, Michael",0.0018841666666666,0.6233,0.0223,0.0594,0.150925
"Coody, Pierceson",0.0018520833333333,0.63305,0.02005,0.0577,0.14905
"Kim, Michael",0.0018483333333333,0.7097,0.0266,0.0723,0.18375
"Cowan, Ryder",0.0016941666666666,0.874275,0.02575,0.066175,0.1694
"Hojgaard, Nicolai",0.0015641666666666,0.471725,0.0193,0.053125,0.128975
"Kitayama, Kurt",0.0015258333333333,0.41545,0.021325,0.0526,0.127
"Bridgeman, Jacob",0.0014558333333333,0.5157,0.020825,0.05535,0.1422
"McCarty, Matt",0.00144125,0.5609,0.0199,0.0515,0.132375
"Lowry, Shane",0.0013175,0.352875,0.0139,0.037325,0.096275
"Koivun, Jackson",0.0012883333333333,0.5943,0.020175,0.055225,0.14425
"Gerard, Ryan",0.0011395833333333,0.519,0.020525,0.05795,0.14255
"Echavarria, Nico",0.0011308333333333,0.59385,0.0135,0.038825,0.109975
"Hatton, Tyrrell",0.001105,0.4115,0.0183,0.0477,0.11965
"Parry, John",0.0010979166666666,0.710725,0.01575,0.049325,0.141
"Shipley, Neal",0.0010916666666666,0.664775,0.014775,0.0413,0.115775
"Gotterup, Chris",0.0009291666666666,0.282875,0.01185,0.031,0.079575
"Dumont De Chassart, Adrien",0.00089375,0.6427,0.012975,0.038025,0.1096
"Rai, Aaron",0.00073625,0.432425,0.0144,0.041375,0.1149
"Noren, Alex",0.0006904166666666,0.3675,0.010475,0.03065,0.0865
"Hidalgo Portillo, Angel",0.0006833333333333,0.622525,0.0087,0.023975,0.072225
"Blair, Zac",0.000655,0.6732,0.0095,0.02965,0.1009
"Novak, Andrew",0.0006291666666666,0.433825,0.00925,0.027,0.08105
"Keefer, Johnny",0.0005791666666666,0.4001,0.008975,0.026325,0.07455
"Ortiz, Carlos",0.000525,0.449525,0.009525,0.0274,0.0778
"Yellamaraju, Sudarshan",0.0005029166666666,0.464475,0.00915,0.02785,0.084075
"Rodgers, Patrick",0.000475,0.53195,0.00955,0.0284,0.086175
"Stout, Preston",0.00045,0.544825,0.00915,0.027625,0.083625
"Hovland, Viktor",0.00045,0.220525,0.00855,0.0244,0.064075
"Higgs, Harry",0.0004279166666666,0.5535,0.0055,0.01695,0.058075
"Norgaard, Niklas",0.00038,0.5854,0.006225,0.019075,0.064
"Thompson, Davis",0.0003708333333333,0.37005,0.0078,0.02525,0.07035
"Hall, Harry",0.0003625,0.375325,0.007325,0.023275,0.072575
"Roy, Kevin",0.0003583333333333,0.5204,0.006025,0.019275,0.06335
"Kim, Si Woo",0.00031875,0.1141,0.004325,0.0127,0.034575
"Nicholas, James",0.0002979166666666,0.5414,0.00545,0.0178,0.0548
"Putnam, Andrew",0.0002979166666666,0.357125,0.004875,0.0172,0.061425
"Saddier, Adrien",0.0002875,0.5215,0.006175,0.0216,0.06995
"Grillo, Emiliano",0.0002875,0.408,0.005675,0.0189,0.062325
"Jordan, Matthew",0.0002625,0.47235,0.004925,0.0168,0.057
"Im, Sungjae",0.00025625,0.298725,0.00515,0.016125,0.0488
"Taylor, Nick",0.0002416666666666,0.313375,0.005625,0.017975,0.0538
"Herbert, Lucas",0.0002133333333333,0.2827,0.0049,0.015,0.0447
"Canter, Laurie",0.0002070833333333,0.510225,0.004875,0.0176,0.06255
"Van Paris, Jackson",0.0002041666666666,0.6403,0.00425,0.014575,0.050975
"Russell, Miles",0.00019125,0.445675,0.004075,0.013925,0.047875
"Schaper, Jayden",0.0001458333333333,0.1914,0.002725,0.008275,0.0288
"Spaun, J.J.",0.0001333333333333,0.0817,0.00235,0.0064,0.018175
"Suber, Jackson",0.0001291666666666,0.266175,0.00335,0.010775,0.0359
"Smalley, Alex",0.0001258333333333,0.203975,0.004575,0.01455,0.043775
"Horschel, Billy",0.00012375,0.291975,0.002625,0.00915,0.0324
"Smith, Cameron",0.000105,0.1793,0.001925,0.007275,0.02575
"Stanger, Jimmy",5.625e-05,0.201575,0.00145,0.0051,0.017925
"Tibbits, Spencer",5.08333333333333e-05,0.2719,0.0011,0.003125,0.010425
"Sato, Taihei",5e-05,0.221525,0.0009,0.00405,0.015675
"Puig, David",5e-05,0.08355,0.0015,0.004925,0.014775
"Hammer, Cole",4.58333333333333e-05,0.20615,0.001375,0.004825,0.0168
"Wu, Dylan",4.58333333333333e-05,0.320375,0.00155,0.007325,0.0289
"Schmid, Matti",3.75e-05,0.05075,0.00035,0.001225,0.00485
"Knapp, Jake",3.75e-05,0.0693,0.000875,0.002925,0.010525
"Rozo, Marcelo",3.75e-05,0.28725,0.001125,0.004325,0.0198
"Kimsey, Nathan",3.125e-05,0.075025,0.0004,0.001825,0.0067
"Shah, Manav",2.5e-05,0.067075,0.0001,0.0002,0.00105
"Du Plessis, Hennie",2.5e-05,0.0796,0.00055,0.001875,0.0065
"Surratt, Caleb",1.25e-05,0.115675,0.000425,0.001725,0.008625
"Fang, Ethan",8.33333333333333e-06,0.120225,0.000225,0.0008,0.003825
"Berger, Daniel",8.33333333333333e-06,0.051075,0.0006,0.001975,0.00695
"Lee, Bryan",0.0,0.18075,0.0002,0.0011,0.003925
"Schoenberger, Jack",0.0,0.083775,2.5e-05,0.000125,0.0008
"Fleming, Marek",0.0,0.13325,0.0001,0.0007,0.002475
"Phillips, Chandler",0.0,0.19135,0.00095,0.0037,0.01405
"Repetto Taylor, Rocco Paolo",0.0,0.0001,0.0,0.0,0.0
"Harber, Vaughn",0.0,0.0244,5e-05,7.5e-05,0.0002
"Kirk, Chris",0.0,0.0124,2.5e-05,7.5e-05,0.000475
"Howell, Mason",0.0,0.004075,2.5e-05,0.0001,0.0002
"Yuan, Carl",0.0,0.016875,7.5e-05,0.000175,0.00085
"Onishi, Kaito",0.0,0.007725,0.0,2.5e-05,0.00015
"Holmes, J.B.",0.0,0.03635,0.0001,0.000275,0.000875
"Coleman, Hamilton",0.0,5e-05,0.0,0.0,0.0
"Puebla, Giuseppe",0.0,0.098,0.00015,0.000925,0.0034
"Oiwa, Ryuichi",0.0,0.0028,0.0,2.5e-05,2.5e-05
"Lee, Eric",0.0,0.12875,0.00025,0.001125,0.005525
"Uihlein, Peter",0.0,0.139475,0.00025,0.0013,0.0057
"Celli, Filippo",0.0,0.064575,0.000125,0.00045,0.002125
"Kim, T.K.",0.0,0.006375,0.0,0.0,0.0
"Robles, Matt",0.0,0.032075,0.0,5e-05,0.000325
"Silverman, Ben",0.0,0.17595,0.000425,0.002075,0.010525
"Montgomery, Taylor",0.0,0.01495,0.0,5e-05,0.000475
"Wu, Brandon",0.0,0.0036,0.0,0.0,7.5e-05
"Holtz, Brandon",0.0,0.01335,0.0,7.5e-05,0.000225
"Kyes, Chase",0.0,0.036225,0.0,7.5e-05,0.000425
"Sollon, Jake",0.0,0.0057,0.0,0.0,0.0
"Hardy, Nick",0.0,0.0255,0.0,0.00025,0.001075
"Peacock, Jake",0.0,0.022975,5e-05,0.000125,0.0004
"McDowell, Graeme",0.0,0.026275,0.000125,0.00025,0.000725
"Coussaud, Ugo",0.0,0.07085,0.000275,0.001025,0.00445
"Pulcini, Mateo",0.0,0.0317,0.0,2.5e-05,0.0004
"Harrington, Padraig",0.0,0.013,0.0,5e-05,0.00045
"Dossey, Cooper",0.0,0.003625,0.0,2.5e-05,0.000125
"Herrington, Jackson",0.0,0.036225,0.0,0.0001,0.00055
"Tosti, Alejandro",0.0,0.009625,5e-05,0.0002,0.000625
"Ormond, Jackson",0.0,0.00025,0.0,0.0,2.5e-05
"Arni Sveinsson, Gunnlaugur",0.0,0.00035,0.0,0.0,0.0
"Reilly, Logan",0.0,0.00085,0.0,0.0,2.5e-05
"Leach, Greyson",0.0,0.0012,0.0,2.5e-05,0.000125
"Higgins, Robbie",0.0,2.5e-05,0.0,0.0,0.0
